label,peak_height,peak_width
cerrar,66.55,34
cerrar,53.35,46
cerrar,51.55,33
cerrar,60.65,42
cerrar,57.2,42
cerrar,56.0,34
cerrar,52.1,32
cerrar,58.95,40
cerrar,54.35,43
cerrar,61.3,41
cerrar,56.3,47
cerrar,50.65,37
cerrar,54.8,29
cerrar,51.7,38
cerrar,53.35,44
cerrar,57.55,32
cerrar,57.65,41
cerrar,52.75,43
cerrar,50.6,38
cerrar,68.1,51
cerrar,50.0,48
cerrar,55.25,41
cerrar,57.05,44
corazon,7.25,21
corazon,11.2,11
corazon,9.75,11
corazon,7.4,7
corazon,7.899999999999999,5
corazon,10.149999999999999,8
corazon,7.4,9
corazon,7.199999999999999,6
corazon,8.55,18
corazon,9.8,21
corazon,10.15,17
corazon,12.5,21
corazon,8.75,12
corazon,13.399999999999999,23
corazon,13.45,12
corazon,13.149999999999999,17
corazon,7.699999999999999,10
corazon,7.600000000000001,17
corazon,9.3,14
corazon,7.0,13
corazon,7.25,16
corazon,8.3,12
corazon,9.45,13
corazon,6.949999999999999,13
corazon,8.4,13
corazon,7.800000000000001,15
corazon,9.95,12
corazon,13.7,13
corazon,7.800000000000001,12
corazon,9.25,11
corazon,8.9,3
corazon,9.25,7
corazon,6.800000000000001,4
corazon,6.949999999999999,13
corazon,10.149999999999999,11
corazon,12.2,14
corazon,7.65,15
corazon,8.5,13
corazon,12.4,24
corazon,9.9,16
corazon,8.4,13
corazon,8.55,10
corazon,6.6,8
corazon,6.5,0
corazon,13.85,24
corazon,10.399999999999999,16
corazon,12.65,21
corazon,9.15,19
corazon,7.3,17
corazon,7.05,18
corazon,7.4,16
corazon,9.75,19
corazon,10.3,14
corazon,7.5,3
corazon,8.8,12
corazon,11.95,17
corazon,6.0,0
corazon,4.5,80
corazon,6.75,17
corazon,12.45,14
corazon,8.65,18
corazon,8.2,11
corazon,8.45,17
corazon,9.4,7
4dedos,26.1,17
4dedos,26.0,32
4dedos,24.15,20
4dedos,31.65,21
4dedos,27.0,22
4dedos,33.3,24
4dedos,32.6,22
4dedos,30.4,28
4dedos,22.200000000000003,17
4dedos,29.5,24
4dedos,25.05,36
4dedos,25.15,31
4dedos,28.45,25
4dedos,30.95,24
4dedos,22.1,18
4dedos,31.1,28
4dedos,25.05,19
4dedos,25.5,22
4dedos,25.1,31
4dedos,29.15,36
4dedos,29.65,19
4dedos,22.65,16
4dedos,23.0,25
4dedos,31.65,27
4dedos,29.35,23
4dedos,31.85,19
4dedos,31.25,19
deditos,33.4,32
deditos,39.5,31
deditos,39.0,32
deditos,34.4,37
deditos,34.8,38
deditos,31.95,24
deditos,30.15,31
deditos,30.75,38
deditos,33.55,16
deditos,36.5,28
deditos,36.35,38
deditos,39.15,23
deditos,37.25,26
deditos,34.65,45
deditos,29.450000000000003,23
deditos,37.5,20
deditos,31.0,25
deditos,35.85,28
deditos,38.95,27
deditos,40.3,32
deditos,32.55,29
deditos,40.15,29
deditos,32.95,31
deditos,33.35,34
deditos,31.6,30
deditos,31.299999999999997,26
